"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor(Percent)","2017 Capacity Factor(Percent)","2016 Capacity Factor(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,Years of Operation through 12/31/2019,
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,05000275,DPR-80,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,23/04/1968,02/11/1984,07/05/1985,Application Withdrawn,02/11/2024,3411,,98%,81%,98%,87%,87%,95%,84%,100%,88%,84%,98%,,87%,76%,101%,,35,
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,05000323,DPR-82,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,Pacific Gas & Electric Company,www.pge.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,09/12/1970,26/08/1985,13/03/1986,Application Withdrawn,26/08/2025,3411,,87%,95%,88%,95%,86%,82%,97%,89%,100%,84%,74%,,99%,84%,81%,,34,
"Donald C. Cook Nuclear Plant, Unit 1",D.C. Cook 1,05000315,DPR-58,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,25/03/1969,25/10/1974,28/08/1975,30/08/2005,25/10/2034,3304,,100%,72%,82%,78%,94%,78%,104%,87%,88%,3%,64%,,91%,99%,74%,,45,
"Donald C. Cook Nuclear Plant, Unit 2",D.C. Cook 2 ,05000316,DPR-74,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,Indiana Michigan Power Company,www.indianamichiganpower.com,,PWR-ICECND,WEST 4LP,AEP,AEP,25/03/1969,23/12/1977,01/07/1978,30/08/2005,23/12/2037,3468,,79%,104%,71%,79%,101%,85%,91%,104%,84%,87%,101%,,100%,84%,75%,,42,
"Dresden Nuclear Power Station, Unit 2",Dresden 2,05000237,DPR-19,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,10/01/1966,22/12/1969,09/06/1970,28/10/2004,22/12/2029,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",99%,84%,91%,83%,98%,85%,104%,95%,102%,91%,98%,,87%,78%,90%,,50,
"Dresden Nuclear Power Station, Unit 3",Dresden 3,05000249,DPR-25,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 3,S&L,UE&C,14/10/1966,12/01/1971,16/11/1971,28/10/2004,12/01/2031,2957,,94%,91%,84%,89%,95%,89%,91%,99%,90%,97%,93%,,93%,85%,94%,,48,
Duane Arnold Energy Center,Duane Arnold,05000331,DPR-49,"Palo, IA (8 MI NW of Cedar Rapids,  IA)",3,"NextEra Duane Arnold, LLC","NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",nexteraenergy.com,,BWR-MARK 1,GE 4,BECH,BECH,22/06/1970,22/02/1974,01/02/1975,16/12/2010,21/02/2034,1912,"In a letter dated January 18, 2019, NextEra Energy Duane Arnold, LLC. Certified their decision to permanently cease power operations at the Duane Arnold Energy Center (DAEC) in the fourth quarter of 2020.",93%,88%,79%,88%,79%,89%,83%,99%,89%,92%,103%,,89%,100%,81%,,45,
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,05000321,DPR-57,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,30/09/1969,13/10/1974,31/12/1975,15/01/2002,06/08/2034,2804,,91%,97%,93%,101%,89%,94%,89%,98%,85%,94%,84%,,91%,90%,95%,,45,
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,05000366,NPF-5,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,BWR-MARK 1,GE 4,BECH,GPC,27/12/1972,13/06/1978,05/09/1979,15/01/2002,13/06/2038,2804,,95%,95%,101%,91%,99%,89%,98%,78%,96%,67%,96%,,87%,97%,90%,,41,
"Fermi, Unit 2",Fermi 2,05000341,NPF-43,"Newport, MI (25 MI NE of Toledo,  OH)",3,DTE Electric Company,DTE Electric Company (DTE),www.dteenergy.com,,BWR-MARK 1,GE 4,S&L,DANI,26/09/1972,20/03/1985,23/01/1988,15/12/2016,20/03/2045,3486,,75%,82%,86%,69%,82%,62%,54%,94%,80%,75%,98%,,90%,87%,83%,,34,
